,tweet_id,text,favorite_count,retweet_count,created_at
101,1317243880329367553,"RT @spigaro: Μάρτιος : 20 κρούσματα/μέρα, μη φοράτε μάσκα, καθολικό lockdown
Ιούλιος : Μπάτε σκύλοι αλέστε
Οκτώβριος : 500 κρούσματα/μέρα,…",0,115,Fri Oct 16 23:19:48 +0000 2020
102,1317243879742201856,RT @alexisccardiel: I really hope they put us on lockdown again,0,98,Fri Oct 16 23:19:48 +0000 2020
103,1317243879456911360,RT @GFiuza_Oficial: Como pode um presidente fraco aprisionar a França c/ toque de recolher? Sem qq estudo sustentando a eficácia dessa medi…,0,1868,Fri Oct 16 23:19:48 +0000 2020
104,1317243879066841089,"RT @SWAtlasHoover: Famous public health ""experts"" testing &amp; isolating asymptomatics, limiting in-person school, restricting businesses... T…",0,1948,Fri Oct 16 23:19:48 +0000 2020
105,1317243872976818176,"RT @demi_jaynexx: We’re on the absolute brink of being put back on a full lockdown- it’s almost winter, freezing cold, gets dark early, gym…",0,3743,Fri Oct 16 23:19:47 +0000 2020
106,1317243872100143112,"RT @LabourUBI: If there is going to be a nationwide lockdown then everybody should receive a Basic Income.

Share if you agree.",0,69,Fri Oct 16 23:19:46 +0000 2020
107,1317243866496585730,RT @MahyarTousi: A young girl being arrested in central London for chanting against the lockdown https://t.co/Kpw1jkj7W0,0,181,Fri Oct 16 23:19:45 +0000 2020
108,1317243865544429578,RT @sisilensimo: Respondus Lockdown Browser can go to hell.,0,1,Fri Oct 16 23:19:45 +0000 2020
109,1317243862981746694,"RT @SWAtlasHoover: Famous public health ""experts"" testing &amp; isolating asymptomatics, limiting in-person school, restricting businesses... T…",0,1948,Fri Oct 16 23:19:44 +0000 2020
110,1317243862944043010,"RT @DeOne___: I followed all the rules in lockdown pt.1, Boris fucked up and we’re back at square one, therefore I shall not be sacrificing…",0,129,Fri Oct 16 23:19:44 +0000 2020
111,1317243858393174016,"RT @GreatGameIndia: Meanwhile, American judge has ruled coronavirus restrictions by Pennsylvania Governor Tom Wolf as unconstitutional. The…",0,4,Fri Oct 16 23:19:43 +0000 2020
112,1317243852143661056,"RT @spigaro: Μάρτιος : 20 κρούσματα/μέρα, μη φοράτε μάσκα, καθολικό lockdown
Ιούλιος : Μπάτε σκύλοι αλέστε
Οκτώβριος : 500 κρούσματα/μέρα,…",0,115,Fri Oct 16 23:19:42 +0000 2020
113,1317243849706700801,"RT @ohpolly: Do we have any girls in lockdown? Isolation? Anyone from an area with new restrictions? 👀

Let us help you celebrate your next…",0,2722,Fri Oct 16 23:19:41 +0000 2020
114,1317243844333850624,"@mariannaaprile Perché dannarsi tanto a fare politiche di prevenzione e controllo, quando puoi fare un bel lockdown… https://t.co/bhVMXAEQ4U",0,0,Fri Oct 16 23:19:40 +0000 2020
115,1317243828823351302,"Trump tells another lie. And he's still not ashamed of himself. Vote him out on 3 November. || No, the WHO Didn’t C… https://t.co/cdEJCpqwpk",0,0,Fri Oct 16 23:19:36 +0000 2020
116,1317243827615191041,"RT @Ro_Smith: Daniel Andrews said yesterday, correctly, that we ""haven't listened to the loudest voices, haven't lost our nerve"". Lockdown…",0,111,Fri Oct 16 23:19:36 +0000 2020
117,1317243825274773504,RT @witchyqueer: not-so-gentle reminder that all the “sacrifices” you made during lockdown are things that disabled and chronically ill peo…,0,1298,Fri Oct 16 23:19:35 +0000 2020
118,1317243819017015298,"RT @HousingITguy: Covid19 looks to not be dampening down,any time soon. How will #SocialHousing ever chew through the non-Emergency repairs…",0,2,Fri Oct 16 23:19:34 +0000 2020
119,1317243818752700416,My lockdown got corrupted 🥺😔😭,0,0,Fri Oct 16 23:19:34 +0000 2020
120,1317243815233753088,RT @_alexmeadows: London lockdown 2.0 https://t.co/MfQlsiduLa,0,960,Fri Oct 16 23:19:33 +0000 2020
